시즌,INT,INTp,INTX,LUK,LUKp,LUKX,마력,마력p,데미지,보스데미지,상추뎀,방무,크뎀,벞지,소환수
1,6918,627,28040,3638,217,370,4027,139,199.5,596,14,99.03139529,153.65,54,40
1,7203,702,30900,3746,209,650,4141,141,191.5,595,14,99.55928486,164.25,89,40
1,8718,789,29020,4844,224,580,5452,161,193.5,723,14,99.15801029,180,83,40
1,7148,634,31600,3734,166,520,4202,135,197.5,634,13,99.3939302,161.5,70,38
1,8597,852,29130,4877,254,570,5574,182,206.5,704,14,99.17689591,183.7,88,42
1,8451,763,31630,4493,204,600,5048,166,190.5,630,13,99.11009443,180.55,78,40
1,7120,655,29380,3733,180,580,4116,138,191.5,636,14,99.29471972,159.9,95,42
1,8212,718,29070,4555,197,470,5099,196,193.5,600,14,99.19733257,181.35,101,42
1,6909,685,31650,3606,160,650,4296,158,191.5,615,14,99.12664992,161.05,90,40
1,6990,623,31530,3439,192,630,3886,150,191.5,572,14,99.03139529,159.5,77,42
1,6764,663,31500,3477,224,570,3941,129,190.7,630,14,99.12441209,152.45,70,40
1,6620,560,31730,3384,156,600,4051,138,194.5,694,17,99.29995947,165.1,50,42
1,6988,619,31540,3782,286,380,4175,136,191.5,633,13,99.29291856,161.75,55,32
1,8592,890,29190,5173,209,660,5981,204,201.5,700,16,99.26149437,184.4,77,42
1,6872,674,31340,3553,185,580,4179,144,191.5,577,14,98.94338121,161.15,84,42
1,6851,567,31000,3457,184,630,3981,150,207.5,581,13,99.03139529,159.1,62,42
1,6793,603,31260,3678,249,580,4121,108,200.5,675,14,99.36253703,159.45,67,42
1,7033,654,27130,3576,172,540,4138,129,187.7,632,14,99.10859236,159.1,51,20
1,8248,802,29060,4692,212,460,5129,165,205.5,706,14,99.08837204,181.55,86,40
1,6614,593,31840,3716,176,550,4015,140,191.5,613,14,99.29430228,166.1,69,40
1,7770,730,31080,4162,234,640,4434,149,202.5,615,14,98.9216623,172.6,81,40
